_indiv,_obsind,_session,highcostrank,rank,samegrouprank,treatment_RankHet,treatment_RankHom
98,13.0,5,1.0,5.0,1.0,1,0
98,13.0,5,1.0,6.0,0.0,1,0
98,13.0,5,1.0,7.0,0.0,1,0
99,13.0,5,0.0,1.0,0.0,1,0
99,13.0,5,0.0,2.0,1.0,1,0
99,13.0,5,1.0,3.0,0.0,1,0
99,13.0,5,0.0,4.0,0.0,1,0
99,13.0,5,0.0,5.0,1.0,1,0
99,13.0,5,1.0,6.0,0.0,1,0
99,13.0,5,1.0,7.0,1.0,1,0
100,13.0,5,1.0,1.0,1.0,1,0
100,13.0,5,1.0,2.0,0.0,1,0
100,13.0,5,1.0,3.0,0.0,1,0
100,13.0,5,0.0,4.0,1.0,1,0
100,13.0,5,0.0,5.0,1.0,1,0
100,13.0,5,0.0,6.0,0.0,1,0
100,13.0,5,0.0,7.0,0.0,1,0
101,13.0,5,1.0,1.0,0.0,1,0
101,13.0,5,1.0,2.0,0.0,1,0
101,13.0,5,1.0,3.0,1.0,1,0
101,13.0,5,0.0,4.0,0.0,1,0
101,13.0,5,0.0,5.0,1.0,1,0
101,13.0,5,0.0,6.0,0.0,1,0
101,13.0,5,0.0,7.0,1.0,1,0
102,13.0,5,1.0,1.0,1.0,1,0
102,13.0,5,0.0,2.0,1.0,1,0
102,13.0,5,0.0,3.0,1.0,1,0
102,13.0,5,1.0,4.0,0.0,1,0
102,13.0,5,1.0,5.0,0.0,1,0
102,13.0,5,0.0,6.0,0.0,1,0
102,13.0,5,0.0,7.0,0.0,1,0
103,13.0,5,0.0,1.0,1.0,1,0
103,13.0,5,1.0,2.0,1.0,1,0
103,13.0,5,1.0,3.0,1.0,1,0
103,13.0,5,0.0,4.0,0.0,1,0
103,13.0,5,0.0,5.0,0.0,1,0
103,13.0,5,1.0,6.0,0.0,1,0
103,13.0,5,1.0,7.0,0.0,1,0
104,13.0,5,1.0,1.0,1.0,1,0
104,13.0,5,1.0,2.0,1.0,1,0
104,13.0,5,0.0,3.0,1.0,1,0
104,13.0,5,0.0,4.0,0.0,1,0
104,13.0,5,1.0,5.0,0.0,1,0
104,13.0,5,1.0,6.0,0.0,1,0
104,13.0,5,0.0,7.0,0.0,1,0
105,14.0,5,1.0,1.0,1.0,1,0
105,14.0,5,1.0,2.0,0.0,1,0
105,14.0,5,1.0,3.0,0.0,1,0
105,14.0,5,0.0,4.0,1.0,1,0
105,14.0,5,0.0,5.0,1.0,1,0
105,14.0,5,0.0,6.0,0.0,1,0
105,14.0,5,0.0,7.0,0.0,1,0
106,14.0,5,0.0,1.0,1.0,1,0
106,14.0,5,0.0,2.0,1.0,1,0
106,14.0,5,0.0,3.0,0.0,1,0
106,14.0,5,0.0,4.0,0.0,1,0
106,14.0,5,1.0,5.0,1.0,1,0
106,14.0,5,1.0,6.0,0.0,1,0
106,14.0,5,1.0,7.0,0.0,1,0
107,14.0,5,0.0,1.0,1.0,1,0
107,14.0,5,1.0,2.0,1.0,1,0
107,14.0,5,0.0,3.0,0.0,1,0
107,14.0,5,0.0,4.0,0.0,1,0
107,14.0,5,1.0,5.0,0.0,1,0
107,14.0,5,1.0,6.0,0.0,1,0
107,14.0,5,1.0,7.0,1.0,1,0
108,14.0,5,1.0,1.0,1.0,1,0
108,14.0,5,1.0,2.0,0.0,1,0
108,14.0,5,1.0,3.0,1.0,1,0
108,14.0,5,1.0,4.0,0.0,1,0
108,14.0,5,0.0,5.0,0.0,1,0
108,14.0,5,0.0,6.0,1.0,1,0
108,14.0,5,0.0,7.0,0.0,1,0
109,14.0,5,0.0,1.0,1.0,1,0
109,14.0,5,0.0,2.0,1.0,1,0
109,14.0,5,0.0,3.0,0.0,1,0
109,14.0,5,0.0,4.0,0.0,1,0
109,14.0,5,1.0,5.0,1.0,1,0
109,14.0,5,1.0,6.0,0.0,1,0
109,14.0,5,1.0,7.0,0.0,1,0
110,14.0,5,0.0,1.0,1.0,1,0
110,14.0,5,0.0,2.0,0.0,1,0
110,14.0,5,0.0,3.0,0.0,1,0
110,14.0,5,1.0,4.0,1.0,1,0
110,14.0,5,1.0,5.0,0.0,1,0
110,14.0,5,1.0,6.0,1.0,1,0
110,14.0,5,1.0,7.0,0.0,1,0
111,14.0,5,1.0,1.0,1.0,1,0
111,14.0,5,1.0,2.0,0.0,1,0
111,14.0,5,1.0,3.0,1.0,1,0
111,14.0,5,1.0,4.0,0.0,1,0
111,14.0,5,0.0,5.0,1.0,1,0
111,14.0,5,0.0,6.0,0.0,1,0
111,14.0,5,0.0,7.0,0.0,1,0
112,14.0,5,1.0,1.0,1.0,1,0
112,14.0,5,1.0,2.0,0.0,1,0
112,14.0,5,0.0,3.0,1.0,1,0
112,14.0,5,1.0,4.0,0.0,1,0
112,14.0,5,0.0,5.0,1.0,1,0
112,14.0,5,0.0,6.0,0.0,1,0
112,14.0,5,0.0,7.0,0.0,1,0
113,15.0,5,0.0,1.0,1.0,1,0
113,15.0,5,0.0,2.0,0.0,1,0
113,15.0,5,0.0,3.0,0.0,1,0
113,15.0,5,1.0,4.0,1.0,1,0
113,15.0,5,1.0,5.0,1.0,1,0
113,15.0,5,1.0,6.0,0.0,1,0
113,15.0,5,1.0,7.0,0.0,1,0
114,15.0,5,1.0,1.0,1.0,1,0
114,15.0,5,0.0,2.0,1.0,1,0
114,15.0,5,0.0,3.0,1.0,1,0
114,15.0,5,1.0,4.0,0.0,1,0
114,15.0,5,1.0,5.0,0.0,1,0
114,15.0,5,0.0,6.0,0.0,1,0
114,15.0,5,0.0,7.0,0.0,1,0
115,15.0,5,1.0,1.0,1.0,1,0
115,15.0,5,1.0,2.0,0.0,1,0
115,15.0,5,1.0,3.0,0.0,1,0
115,15.0,5,0.0,4.0,0.0,1,0
115,15.0,5,0.0,5.0,1.0,1,0
115,15.0,5,0.0,6.0,1.0,1,0
115,15.0,5,0.0,7.0,0.0,1,0
116,15.0,5,0.0,1.0,1.0,1,0
116,15.0,5,0.0,2.0,0.0,1,0
116,15.0,5,0.0,3.0,0.0,1,0
116,15.0,5,1.0,4.0,1.0,1,0
116,15.0,5,1.0,5.0,1.0,1,0
116,15.0,5,1.0,6.0,0.0,1,0
116,15.0,5,1.0,7.0,0.0,1,0
117,15.0,5,0.0,1.0,1.0,1,0
117,15.0,5,0.0,2.0,1.0,1,0
117,15.0,5,1.0,3.0,1.0,1,0
117,15.0,5,0.0,4.0,0.0,1,0
117,15.0,5,0.0,5.0,0.0,1,0
117,15.0,5,1.0,6.0,0.0,1,0
117,15.0,5,1.0,7.0,0.0,1,0
118,15.0,5,1.0,1.0,0.0,1,0
118,15.0,5,1.0,2.0,0.0,1,0
118,15.0,5,1.0,3.0,1.0,1,0
118,15.0,5,0.0,4.0,0.0,1,0
118,15.0,5,0.0,5.0,0.0,1,0
118,15.0,5,1.0,6.0,1.0,1,0
118,15.0,5,0.0,7.0,1.0,1,0
119,15.0,5,0.0,1.0,1.0,1,0
119,15.0,5,0.0,2.0,1.0,1,0
119,15.0,5,0.0,3.0,0.0,1,0
119,15.0,5,0.0,4.0,0.0,1,0
119,15.0,5,1.0,5.0,1.0,1,0
119,15.0,5,1.0,6.0,0.0,1,0
119,15.0,5,1.0,7.0,0.0,1,0
120,15.0,5,0.0,1.0,1.0,1,0
120,15.0,5,1.0,2.0,1.0,1,0
120,15.0,5,1.0,3.0,1.0,1,0
120,15.0,5,1.0,4.0,0.0,1,0
120,15.0,5,1.0,5.0,0.0,1,0
120,15.0,5,0.0,6.0,0.0,1,0
120,15.0,5,0.0,7.0,0.0,1,0
121,16.0,6,1.0,1.0,1.0,1,0
121,16.0,6,1.0,2.0,1.0,1,0
121,16.0,6,0.0,3.0,1.0,1,0
121,16.0,6,0.0,4.0,0.0,1,0
121,16.0,6,1.0,5.0,0.0,1,0
121,16.0,6,1.0,6.0,0.0,1,0
121,16.0,6,0.0,7.0,0.0,1,0
122,16.0,6,0.0,1.0,1.0,1,0
122,16.0,6,0.0,2.0,1.0,1,0
122,16.0,6,1.0,3.0,1.0,1,0
122,16.0,6,0.0,4.0,0.0,1,0
122,16.0,6,0.0,5.0,0.0,1,0
122,16.0,6,1.0,6.0,0.0,1,0
122,16.0,6,1.0,7.0,0.0,1,0
123,16.0,6,1.0,1.0,1.0,1,0
123,16.0,6,1.0,2.0,1.0,1,0
123,16.0,6,1.0,3.0,0.0,1,0
123,16.0,6,1.0,4.0,0.0,1,0
123,16.0,6,0.0,5.0,0.0,1,0
123,16.0,6,0.0,6.0,0.0,1,0
123,16.0,6,0.0,7.0,1.0,1,0
124,16.0,6,0.0,1.0,1.0,1,0
124,16.0,6,1.0,2.0,1.0,1,0
124,16.0,6,0.0,3.0,1.0,1,0
124,16.0,6,1.0,4.0,0.0,1,0
124,16.0,6,0.0,5.0,0.0,1,0
124,16.0,6,0.0,6.0,0.0,1,0
124,16.0,6,1.0,7.0,0.0,1,0
125,16.0,6,1.0,1.0,1.0,1,0
125,16.0,6,1.0,2.0,0.0,1,0
125,16.0,6,1.0,3.0,0.0,1,0
125,16.0,6,0.0,4.0,1.0,1,0
125,16.0,6,0.0,5.0,1.0,1,0
125,16.0,6,0.0,6.0,0.0,1,0
125,16.0,6,0.0,7.0,0.0,1,0
126,16.0,6,1.0,1.0,1.0,1,0
126,16.0,6,1.0,2.0,1.0,1,0
126,16.0,6,1.0,3.0,0.0,1,0
126,16.0,6,1.0,4.0,0.0,1,0
126,16.0,6,0.0,5.0,0.0,1,0
126,16.0,6,0.0,6.0,0.0,1,0
126,16.0,6,0.0,7.0,1.0,1,0
127,16.0,6,0.0,1.0,1.0,1,0
127,16.0,6,0.0,2.0,1.0,1,0
127,16.0,6,1.0,3.0,1.0,1,0
127,16.0,6,0.0,4.0,0.0,1,0
127,16.0,6,0.0,5.0,0.0,1,0
127,16.0,6,1.0,6.0,0.0,1,0
127,16.0,6,1.0,7.0,0.0,1,0
128,16.0,6,1.0,1.0,1.0,1,0
128,16.0,6,1.0,2.0,1.0,1,0
128,16.0,6,0.0,3.0,1.0,1,0
128,16.0,6,1.0,4.0,0.0,1,0
128,16.0,6,1.0,5.0,0.0,1,0
128,16.0,6,0.0,6.0,0.0,1,0
128,16.0,6,0.0,7.0,0.0,1,0
129,17.0,6,0.0,1.0,1.0,1,0
129,17.0,6,0.0,2.0,1.0,1,0
129,17.0,6,0.0,3.0,0.0,1,0
129,17.0,6,0.0,4.0,0.0,1,0
129,17.0,6,1.0,5.0,1.0,1,0
129,17.0,6,1.0,6.0,0.0,1,0
129,17.0,6,1.0,7.0,0.0,1,0
130,17.0,6,1.0,1.0,1.0,1,0
130,17.0,6,1.0,2.0,1.0,1,0
130,17.0,6,1.0,3.0,0.0,1,0
130,17.0,6,1.0,4.0,0.0,1,0
130,17.0,6,0.0,5.0,1.0,1,0
130,17.0,6,0.0,6.0,0.0,1,0
130,17.0,6,0.0,7.0,0.0,1,0
131,17.0,6,0.0,1.0,1.0,1,0
131,17.0,6,0.0,2.0,0.0,1,0
131,17.0,6,1.0,3.0,1.0,1,0
131,17.0,6,0.0,4.0,0.0,1,0
131,17.0,6,1.0,5.0,1.0,1,0
131,17.0,6,1.0,6.0,0.0,1,0
131,17.0,6,1.0,7.0,0.0,1,0
132,17.0,6,0.0,1.0,1.0,1,0
132,17.0,6,0.0,2.0,1.0,1,0
132,17.0,6,1.0,3.0,1.0,1,0
132,17.0,6,0.0,4.0,0.0,1,0
132,17.0,6,0.0,5.0,0.0,1,0
132,17.0,6,1.0,6.0,0.0,1,0
132,17.0,6,1.0,7.0,0.0,1,0
133,17.0,6,1.0,1.0,1.0,1,0
133,17.0,6,0.0,2.0,1.0,1,0
133,17.0,6,0.0,3.0,1.0,1,0
133,17.0,6,1.0,4.0,0.0,1,0
133,17.0,6,0.0,5.0,0.0,1,0
133,17.0,6,1.0,6.0,0.0,1,0
133,17.0,6,0.0,7.0,0.0,1,0
134,17.0,6,0.0,1.0,1.0,1,0
134,17.0,6,0.0,2.0,0.0,1,0
134,17.0,6,1.0,3.0,1.0,1,0
134,17.0,6,0.0,4.0,0.0,1,0
134,17.0,6,1.0,5.0,1.0,1,0
134,17.0,6,1.0,6.0,0.0,1,0
134,17.0,6,1.0,7.0,0.0,1,0
135,17.0,6,0.0,1.0,1.0,1,0
135,17.0,6,0.0,2.0,0.0,1,0
135,17.0,6,0.0,3.0,0.0,1,0
135,17.0,6,1.0,4.0,1.0,1,0
135,17.0,6,1.0,5.0,1.0,1,0
135,17.0,6,1.0,6.0,0.0,1,0
135,17.0,6,1.0,7.0,0.0,1,0
136,17.0,6,1.0,1.0,1.0,1,0
136,17.0,6,1.0,2.0,0.0,1,0
136,17.0,6,1.0,3.0,0.0,1,0
136,17.0,6,0.0,4.0,1.0,1,0
136,17.0,6,0.0,5.0,0.0,1,0
136,17.0,6,0.0,6.0,0.0,1,0
136,17.0,6,0.0,7.0,1.0,1,0
137,18.0,6,0.0,1.0,0.0,1,0
137,18.0,6,0.0,2.0,0.0,1,0
137,18.0,6,1.0,3.0,0.0,1,0
137,18.0,6,1.0,4.0,0.0,1,0
137,18.0,6,0.0,5.0,1.0,1,0
137,18.0,6,1.0,6.0,1.0,1,0
137,18.0,6,1.0,7.0,1.0,1,0
138,18.0,6,1.0,1.0,1.0,1,0
138,18.0,6,0.0,2.0,1.0,1,0
138,18.0,6,0.0,3.0,0.0,1,0
138,18.0,6,0.0,4.0,1.0,1,0
138,18.0,6,0.0,5.0,0.0,1,0
138,18.0,6,1.0,6.0,0.0,1,0
138,18.0,6,1.0,7.0,0.0,1,0
139,18.0,6,0.0,1.0,1.0,1,0
139,18.0,6,0.0,2.0,0.0,1,0
139,18.0,6,0.0,3.0,0.0,1,0
139,18.0,6,1.0,4.0,1.0,1,0
139,18.0,6,1.0,5.0,1.0,1,0
139,18.0,6,1.0,6.0,0.0,1,0
139,18.0,6,1.0,7.0,0.0,1,0
140,18.0,6,0.0,1.0,1.0,1,0
140,18.0,6,0.0,2.0,1.0,1,0
140,18.0,6,0.0,3.0,0.0,1,0
140,18.0,6,0.0,4.0,0.0,1,0
140,18.0,6,1.0,5.0,1.0,1,0
140,18.0,6,1.0,6.0,0.0,1,0
140,18.0,6,1.0,7.0,0.0,1,0
141,18.0,6,0.0,1.0,1.0,1,0
141,18.0,6,0.0,2.0,1.0,1,0
141,18.0,6,0.0,3.0,0.0,1,0
141,18.0,6,0.0,4.0,0.0,1,0
141,18.0,6,1.0,5.0,1.0,1,0
141,18.0,6,1.0,6.0,0.0,1,0
141,18.0,6,1.0,7.0,0.0,1,0
142,18.0,6,0.0,1.0,1.0,1,0
142,18.0,6,0.0,2.0,1.0,1,0
142,18.0,6,0.0,3.0,0.0,1,0
142,18.0,6,0.0,4.0,0.0,1,0
142,18.0,6,1.0,5.0,1.0,1,0
142,18.0,6,1.0,6.0,0.0,1,0
142,18.0,6,1.0,7.0,0.0,1,0
143,18.0,6,0.0,1.0,1.0,1,0
143,18.0,6,0.0,2.0,0.0,1,0
143,18.0,6,0.0,3.0,0.0,1,0
143,18.0,6,1.0,4.0,1.0,1,0
143,18.0,6,1.0,5.0,1.0,1,0
143,18.0,6,1.0,6.0,0.0,1,0
143,18.0,6,1.0,7.0,0.0,1,0
144,18.0,6,1.0,1.0,1.0,1,0
144,18.0,6,1.0,2.0,1.0,1,0
144,18.0,6,0.0,3.0,1.0,1,0
144,18.0,6,1.0,4.0,0.0,1,0
144,18.0,6,1.0,5.0,0.0,1,0
144,18.0,6,0.0,6.0,0.0,1,0
144,18.0,6,0.0,7.0,0.0,1,0
